"0","幼童","幼兒","野柳",NA,NA,NA,NA,NA,NA,NA
"1","嬰兒","嬰幼兒","女童","女兒","幼童","幼兒","兒子","時","寶寶","寶貝"
"2","兒子","女兒","男童","嬰幼兒","時","女童","洪姓","男友","兒童","幼兒"
"3","女兒","兒子","男童","小孩","女童","幼童","小男孩","幼兒","時","女"
"4","兒子","女兒","小孩","男童","孩子","女童","奶嘴","小男孩","性成熟","男孩"
"5","女兒","女童","兒子","男童","張姓","娃","小女孩","幼兒","愛女","蔡姓"
"6","男童","孩童","兒子","時","女兒","哥哥","女童","小朋友","兒童","圈外"
"7","女兒","男童","女童","兒子","雙","小女孩","時","民眾","女孩","小孩"
"8","兒子","女友","女童","女兒","男童","修杰楷","胞胎","女孩","孩子","愛犬"
"9","兒子","女兒","女童","男童","台北","球僮","男","小女孩","女孩","小女"
"10","女兒","女童","男童","兒童","兒子","唱歌","繼子","大陸","女友","小朋友"
"11","女兒","女童","男童","兒子","劉亦菲","孩子","小女孩","張","中國","曾育晨"
"12","男童","兒子","女童","兒童","女孩","孩童","楊瀚","孩子","男星","民眾"
"13","少女","女兒","女童","兒子","女性","時","國","國二","王","男孩"
"14","少女","女兒","女子","女孩","世界","公分","兒子","學生","男女","胡姓"
"15","少女","女兒","青少年","歐陽","女子","僱者","男生","女孩","學生","兒子"
"16","少女","女兒","活動","青少年","大人","後","時","禮體驗","陳姓","駱"
"17","少女","高中生","學生","青少年","時","年紀","男","韓德森","蔡姓","陳姓"
"18","學生","男性","青少年","少女","畢業","布朗","後","時","非裔","學學"
"19","女兒","女","消防","少女","男子","大學","青少年","李姓","女子","戰士"
"20","民眾","女子","男子","女兒","林冠","女性","張姓","人","少女","男性"
"21","張姓","陳姓","n","男子","蔡姓","星座","李姓","林姓","王姓","白人"
"22","男子","女","陳姓","李姓","國","大學","女子","女性","宋芸樺","射手"
"23","女子","張姓","男子","林姓","n","公分","孫楊","年紀","異性","郭俊麟"
"24","記者","文字","男子","失業率","黃姓","女子","人","兒子","李姓","楊姓"
"25","摩洛哥","男子","女性","後","女子","人","男性","兒子","時","高姓"
"26","摩洛哥","男子","吳姓","日本","女子","陳姓","羅姓","男性","n","公分"
